Topic of discussion,Representative tweet id,Another representative tweet id (if any)
0.people channel movement,454526570602831874
1.dissenters room,454844443255132160,454874811659870208
2.time,454526570602831874,454870758989524992
3.things,454835441871511552
4.imo lnr,454835441871511552,454836872997388289
5.nothing dude,454867949703421952
6.shit,454860368586629121,454868196907302912
7.activism,454867949703421952,454874811659870208
8.posts alot,454639807260794881
9.experiment,454840830524526593,454874811659870208
