Topic of discussion,Representative tweet id,Another representative tweet id (if any)
0.film,455168185189556224,455175468799770624
1.sister alert,455171032295698432,455179763427311617
2.moose bunnies mousse chocolate,455183515097649152,455186996034424832
3.lillian gish,455171467207266305,455171991814025216
4.language cow,455171032295698432,455172882659028993
5.cheese van festival pie ice cream,455170254595829760,455177146520961024
6.william,455174503711383552,455174718866612224
7.ginger night,455194155346452480,455218361774116864
8.cheese mushroom festival pie ice cream,455177146520961024,455181429522333696
9.aren meese,455186996034424832,455187798576750592
