Topic of discussion,Representative tweet id,Another representative tweet id (if any)
islam,458937271920914432,458942580626300928
campaign reform,458931323378597889,458944876135325696
cc coward,458948183578910720,458944978639937537
sura,458944718106537985
calvin reformed christianity,458937271920914432,458943087902216192
koran,458928386040422400,458938127634403329
opinions others,458909932411441153,458949187552690176
mohammad,458943372322160640
nothing,458942296369954816,458953351850643456
respect,458909932411441153
